id,equipment,gifUrl,name,target,bodyPart,calories 12 reps (cals)
332,body weight,http://d205bpvrqc9yn1.cloudfront.net/1271.gif,chest and front of shoulder stretch,chest muscle,chest,6
333,body weight,http://d205bpvrqc9yn1.cloudfront.net/1273.gif,clap push up,chest muscle,chest,7
334,body weight,http://d205bpvrqc9yn1.cloudfront.net/1167.gif,dynamic chest stretch (male),chest muscle,chest,6
335,body weight,http://d205bpvrqc9yn1.cloudfront.net/1297.gif,isometric chest squeeze,chest muscle,chest,6
336,body weight,http://d205bpvrqc9yn1.cloudfront.net/0500.gif,isometric wipers,chest muscle,chest,6
337,body weight,http://d205bpvrqc9yn1.cloudfront.net/3211.gif,kneeling push-up (male),chest muscle,chest,5
338,body weight,http://d205bpvrqc9yn1.cloudfront.net/3217.gif,modified hindu push-up (male),chest muscle,chest,7
339,body weight,http://d205bpvrqc9yn1.cloudfront.net/1306.gif,plyo push up,chest muscle,chest,6
340,body weight,http://d205bpvrqc9yn1.cloudfront.net/1689.gif,push and pull bodyweight,chest muscle,chest,8
341,body weight,http://d205bpvrqc9yn1.cloudfront.net/0662.gif,push-up,chest muscle,chest,7
342,body weight,http://d205bpvrqc9yn1.cloudfront.net/0659.gif,push-up (wall),chest muscle,chest,4
343,body weight,http://d205bpvrqc9yn1.cloudfront.net/0658.gif,push-up (wall) v. 2,chest muscle,chest,5
344,body weight,http://d205bpvrqc9yn1.cloudfront.net/3145.gif,push-up plus,chest muscle,chest,5
345,body weight,http://d205bpvrqc9yn1.cloudfront.net/0666.gif,raise single arm push-up,chest muscle,chest,5
346,body weight,http://d205bpvrqc9yn1.cloudfront.net/0699.gif,shoulder tap push-up,chest muscle,chest,6
347,body weight,http://d205bpvrqc9yn1.cloudfront.net/0725.gif,single arm push-up,chest muscle,chest,5
348,body weight,http://d205bpvrqc9yn1.cloudfront.net/0803.gif,superman push-up,chest muscle,chest,6
349,body weight,http://d205bpvrqc9yn1.cloudfront.net/1311.gif,wide hand push up,chest muscle,chest,5
350,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1274.gif,deep push up,chest muscle,chest,5
351,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0288.gif,dumbbell around pullover,chest muscle,chest,6
352,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0289.gif,dumbbell bench press,chest muscle,chest,5
353,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0301.gif,dumbbell decline bench press,chest muscle,chest,5
354,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0302.gif,dumbbell decline fly,chest muscle,chest,5
355,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0303.gif,dumbbell decline hammer press,chest muscle,chest,5
356,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1276.gif,dumbbell decline one arm fly,chest muscle,chest,5
357,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0307.gif,dumbbell decline twist fly,chest muscle,chest,5
358,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0308.gif,dumbbell fly,chest muscle,chest,6
359,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/1277.gif,dumbbell fly on exercise ball,chest muscle,chest,5
360,dumbbell,http://d205bpvrqc9yn1.cloudfront.net/0340.gif,dumbbell lying hammer press,chest muscle,chest,6
